pair_id,pair_type,E1_index,E2_index,E3_index,E4_index,k1_index,k2_index,k3_index,k4_index,E1,E2,E3,E4,k1,k2,k3,k4,kw1,kw2,kw3,kw4,k2_mapped,probability,k1_nscf_index,k2_nscf_index,k3_nscf_index,k4_nscf_index,k1_wc_index,k2_wc_index,k3_wc_index,k4_wc_index
9-9-9-7-w1:1-w1:0-w1:1-w1:1,eeh,9,9,9,7,1,0,1,1,0.4,0.40000000000000036,0.4,0.0,"[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]",0.001,0.02380952,0.001,0.001,"[0.0, 0.0, 0.0]",1.9124918384405066e-08,1,0,1,1,1,1,1,1
9-9-9-8-w1:1-w1:0-w1:1-w1:1,eeh,9,9,9,8,1,0,1,1,0.4,0.40000000000000036,0.4,0.0,"[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]",0.001,0.02380952,0.001,0.001,"[0.0, 0.0, 0.0]",1.9124918384405066e-08,1,0,1,1,1,1,1,1
9-9-9-7-w1:1-w1:2-w1:1-w1:3,eeh,9,9,9,7,1,2,1,3,0.4,1.3007999999999997,0.4,-0.1233000000000004,"[0.0, 0.0, 0.0]","[-0.16839947530006705, 0.059538233452204097, 0.0]","[0.0, 0.0, 0.0]","[0.16839947530006705, -0.059538233452204097, 0.0]",0.001,0.02380952,0.001,0.001,"[-0.168399475300067, 0.059538233452204076, 0.0]",1.630975004962732e-10,1,2,1,3,1,1,1,1
9-9-9-7-w1:1-w1:4-w1:1-w1:5,eeh,9,9,9,7,1,4,1,5,0.4,1.3007999999999997,0.4,-0.1233000000000004,"[0.0, 0.0, 0.0]","[0.16839947530006705, -0.059538233452204097, 0.0]","[0.0, 0.0, 0.0]","[-0.16839947530006705, 0.059538233452204097, 0.0]",0.001,0.02380952,0.001,0.001,"[0.16839947530006705, -0.05953823345220409, 0.0]",1.630975004962732e-10,1,4,1,5,1,1,1,1
9-9-9-7-w1:1-w1:6-w1:1-w1:7,eeh,9,9,9,7,1,6,1,7,0.4,1.3007999999999997,0.4,-0.1233000000000004,"[0.0, 0.0, 0.0]","[0.0, -0.1786146515275799, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.1786146515275799, 0.0]",0.001,0.02380952,0.001,0.001,"[0.0, -0.17861465152757985, 0.0]",1.630975004962732e-10,1,6,1,7,1,1,1,1
9-9-9-7-w1:1-w1:8-w1:1-w1:9,eeh,9,9,9,7,1,8,1,9,0.4,1.3007999999999997,0.4,-0.1233000000000004,"[0.0, 0.0, 0.0]","[0.0, 0.1786146515275799, 0.0]","[0.0, 0.0, 0.0]","[0.0, -0.1786146515275799, 0.0]",0.001,0.02380952,0.001,0.001,"[0.0, 0.17861465152757994, 0.0]",1.630975004962732e-10,1,8,1,9,1,1,1,1
9-9-9-7-w1:1-w1:10-w1:1-w1:11,eeh,9,9,9,7,1,10,1,11,0.4,1.3007999999999997,0.4,-0.1233000000000004,"[0.0, 0.0, 0.0]","[0.08419973765003352, 0.05953820903768791, -0.14583825178845475]","[0.0, 0.0, 0.0]","[-0.08419973765003352, -0.05953820903768791, 0.14583825178845475]",0.001,0.02380952,0.001,0.001,"[0.08419973765003352, 0.0595382090376879, -0.14583825178845472]",1.630975004962732e-10,1,10,1,11,1,1,1,1
9-9-9-7-w1:1-w1:12-w1:1-w1:13,eeh,9,9,9,7,1,12,1,13,0.4,1.3007999999999997,0.4,-0.1233000000000004,"[0.0, 0.0, 0.0]","[-0.08419973765003352, -0.059538209037687896, -0.14583825178845475]","[0.0, 0.0, 0.0]","[0.08419973765003352, 0.059538209037687896, 0.14583825178845475]",0.001,0.02380952,0.001,0.001,"[-0.0841997376500335, -0.05953820903768789, -0.14583825178845472]",1.630975004962732e-10,1,12,1,13,1,1,1,1
9-9-9-7-w1:1-w1:14-w1:1-w1:15,eeh,9,9,9,7,1,14,1,15,0.4,1.3007999999999997,0.4,-0.1233000000000004,"[0.0, 0.0, 0.0]","[-0.08419973765003352, -0.05953820903768791, 0.14583825178845475]","[0.0, 0.0, 0.0]","[0.08419973765003352, 0.05953820903768791, -0.14583825178845475]",0.001,0.02380952,0.001,0.001,"[-0.08419973765003351, -0.0595382090376879, 0.14583825178845475]",1.630975004962732e-10,1,14,1,15,1,1,1,1
9-9-9-7-w1:1-w1:16-w1:1-w1:17,eeh,9,9,9,7,1,16,1,17,0.4,1.3007999999999997,0.4,-0.1233000000000004,"[0.0, 0.0, 0.0]","[0.08419973765003352, 0.059538209037687896, 0.14583825178845475]","[0.0, 0.0, 0.0]","[-0.08419973765003352, -0.059538209037687896, -0.14583825178845475]",0.001,0.02380952,0.001,0.001,"[0.08419973765003354, 0.0595382090376879, 0.14583825178845475]",1.630975004962732e-10,1,16,1,17,1,1,1,1
9-9-9-8-w1:1-w1:2-w1:1-w1:3,eeh,9,9,9,8,1,2,1,3,0.4,1.3007999999999997,0.4,-0.1233000000000004,"[0.0, 0.0, 0.0]","[-0.16839947530006705, 0.059538233452204097, 0.0]","[0.0, 0.0, 0.0]","[0.16839947530006705, -0.059538233452204097, 0.0]",0.001,0.02380952,0.001,0.001,"[-0.168399475300067, 0.059538233452204076, 0.0]",1.630975004962732e-10,1,2,1,3,1,1,1,1
9-9-9-8-w1:1-w1:4-w1:1-w1:5,eeh,9,9,9,8,1,4,1,5,0.4,1.3007999999999997,0.4,-0.1233000000000004,"[0.0, 0.0, 0.0]","[0.16839947530006705, -0.059538233452204097, 0.0]","[0.0, 0.0, 0.0]","[-0.16839947530006705, 0.059538233452204097, 0.0]",0.001,0.02380952,0.001,0.001,"[0.16839947530006705, -0.05953823345220409, 0.0]",1.630975004962732e-10,1,4,1,5,1,1,1,1
9-9-9-8-w1:1-w1:6-w1:1-w1:7,eeh,9,9,9,8,1,6,1,7,0.4,1.3007999999999997,0.4,-0.1233000000000004,"[0.0, 0.0, 0.0]","[0.0, -0.1786146515275799, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.1786146515275799, 0.0]",0.001,0.02380952,0.001,0.001,"[0.0, -0.17861465152757985, 0.0]",1.630975004962732e-10,1,6,1,7,1,1,1,1
9-9-9-8-w1:1-w1:8-w1:1-w1:9,eeh,9,9,9,8,1,8,1,9,0.4,1.3007999999999997,0.4,-0.1233000000000004,"[0.0, 0.0, 0.0]","[0.0, 0.1786146515275799, 0.0]","[0.0, 0.0, 0.0]","[0.0, -0.1786146515275799, 0.0]",0.001,0.02380952,0.001,0.001,"[0.0, 0.17861465152757994, 0.0]",1.630975004962732e-10,1,8,1,9,1,1,1,1
9-9-9-8-w1:1-w1:10-w1:1-w1:11,eeh,9,9,9,8,1,10,1,11,0.4,1.3007999999999997,0.4,-0.1233000000000004,"[0.0, 0.0, 0.0]","[0.08419973765003352, 0.05953820903768791, -0.14583825178845475]","[0.0, 0.0, 0.0]","[-0.08419973765003352, -0.05953820903768791, 0.14583825178845475]",0.001,0.02380952,0.001,0.001,"[0.08419973765003352, 0.0595382090376879, -0.14583825178845472]",1.630975004962732e-10,1,10,1,11,1,1,1,1
9-9-9-8-w1:1-w1:12-w1:1-w1:13,eeh,9,9,9,8,1,12,1,13,0.4,1.3007999999999997,0.4,-0.1233000000000004,"[0.0, 0.0, 0.0]","[-0.08419973765003352, -0.059538209037687896, -0.14583825178845475]","[0.0, 0.0, 0.0]","[0.08419973765003352, 0.059538209037687896, 0.14583825178845475]",0.001,0.02380952,0.001,0.001,"[-0.0841997376500335, -0.05953820903768789, -0.14583825178845472]",1.630975004962732e-10,1,12,1,13,1,1,1,1
9-9-9-8-w1:1-w1:14-w1:1-w1:15,eeh,9,9,9,8,1,14,1,15,0.4,1.3007999999999997,0.4,-0.1233000000000004,"[0.0, 0.0, 0.0]","[-0.08419973765003352, -0.05953820903768791, 0.14583825178845475]","[0.0, 0.0, 0.0]","[0.08419973765003352, 0.05953820903768791, -0.14583825178845475]",0.001,0.02380952,0.001,0.001,"[-0.08419973765003351, -0.0595382090376879, 0.14583825178845475]",1.630975004962732e-10,1,14,1,15,1,1,1,1
9-9-9-8-w1:1-w1:16-w1:1-w1:17,eeh,9,9,9,8,1,16,1,17,0.4,1.3007999999999997,0.4,-0.1233000000000004,"[0.0, 0.0, 0.0]","[0.08419973765003352, 0.059538209037687896, 0.14583825178845475]","[0.0, 0.0, 0.0]","[-0.08419973765003352, -0.059538209037687896, -0.14583825178845475]",0.001,0.02380952,0.001,0.001,"[0.08419973765003354, 0.0595382090376879, 0.14583825178845475]",1.630975004962732e-10,1,16,1,17,1,1,1,1
9-9-9-8-w1:1-w1:18-w1:1-w1:19,eeh,9,9,9,8,1,18,1,19,0.4,1.8883999999999999,0.4,-0.1452999999999997,"[0.0, 0.0, 0.0]","[0.16839947530006705, -0.238152884979784, 0.0]","[0.0, 0.0, 0.0]","[-0.16839947530006705, 0.238152884979784, 0.0]",0.001,0.02380952,0.001,0.001,"[0.16839947530006705, -0.23815288497978396, 0.0]",6.964131132704458e-11,1,18,1,19,1,1,1,1
9-9-9-8-w1:1-w1:20-w1:1-w1:21,eeh,9,9,9,8,1,20,1,21,0.4,1.8883999999999999,0.4,-0.1452999999999997,"[0.0, 0.0, 0.0]","[-0.16839947530006705, 0.238152884979784, 0.0]","[0.0, 0.0, 0.0]","[0.16839947530006705, -0.238152884979784, 0.0]",0.001,0.02380952,0.001,0.001,"[-0.168399475300067, 0.23815288497978399, 0.0]",6.964131132704458e-11,1,20,1,21,1,1,1,1
9-9-9-8-w1:1-w1:22-w1:1-w1:23,eeh,9,9,9,8,1,22,1,23,0.4,1.8883999999999999,0.4,-0.1452999999999997,"[0.0, 0.0, 0.0]","[0.25259921295010057, -2.4414516187368884e-08, -0.14583825178845475]","[0.0, 0.0, 0.0]","[-0.25259921295010057, 2.4414516187368884e-08, 0.14583825178845475]",0.001,0.02380952,0.001,0.001,"[0.25259921295010057, -2.4414516186510582e-08, -0.14583825178845472]",6.964131132704458e-11,1,22,1,23,1,1,1,1
9-9-9-8-w1:1-w1:24-w1:1-w1:25,eeh,9,9,9,8,1,24,1,25,0.4,1.8883999999999999,0.4,-0.1452999999999997,"[0.0, 0.0, 0.0]","[-0.25259921295010057, 2.4414516199530067e-08, -0.14583825178845475]","[0.0, 0.0, 0.0]","[0.25259921295010057, -2.4414516199530067e-08, 0.14583825178845475]",0.001,0.02380952,0.001,0.001,"[-0.25259921295010046, 2.4414516186510582e-08, -0.14583825178845472]",6.964131132704458e-11,1,24,1,25,1,1,1,1
9-9-9-8-w1:1-w1:26-w1:1-w1:27,eeh,9,9,9,8,1,26,1,27,0.4,1.8883999999999999,0.4,-0.1452999999999997,"[0.0, 0.0, 0.0]","[-0.08419973765003352, -0.2381528605652678, -0.14583825178845475]","[0.0, 0.0, 0.0]","[0.08419973765003352, 0.2381528605652678, 0.14583825178845475]",0.001,0.02380952,0.001,0.001,"[-0.0841997376500335, -0.23815286056526777, -0.14583825178845472]",6.964131132704458e-11,1,26,1,27,1,1,1,1
9-9-9-8-w1:1-w1:28-w1:1-w1:29,eeh,9,9,9,8,1,28,1,29,0.4,1.8883999999999999,0.4,-0.1452999999999997,"[0.0, 0.0, 0.0]","[0.08419973765003352, 0.23815286056526783, -0.14583825178845475]","[0.0, 0.0, 0.0]","[-0.08419973765003352, -0.23815286056526783, 0.14583825178845475]",0.001,0.02380952,0.001,0.001,"[0.08419973765003352, 0.23815286056526785, -0.14583825178845472]",6.964131132704458e-11,1,28,1,29,1,1,1,1
9-9-9-8-w1:1-w1:30-w1:1-w1:31,eeh,9,9,9,8,1,30,1,31,0.4,1.8883999999999999,0.4,-0.1452999999999997,"[0.0, 0.0, 0.0]","[-1.2856411751856643e-17, 1.2161184174984452e-17, -0.2916765035769095]","[0.0, 0.0, 0.0]","[1.2856411751856643e-17, -1.2161184174984452e-17, 0.2916765035769095]",0.001,0.02380952,0.001,0.001,"[0.0, 0.0, -0.29167650357690944]",6.964131132704458e-11,1,30,1,31,1,1,1,1
9-9-9-8-w1:1-w1:32-w1:1-w1:33,eeh,9,9,9,8,1,32,1,33,0.4,1.8883999999999999,0.4,-0.1452999999999997,"[0.0, 0.0, 0.0]","[1.2856411751856643e-17, -1.2161184174984452e-17, 0.2916765035769095]","[0.0, 0.0, 0.0]","[-1.2856411751856643e-17, 1.2161184174984452e-17, -0.2916765035769095]",0.001,0.02380952,0.001,0.001,"[2.7755575615628914e-17, -2.7755575615628914e-17, 0.2916765035769095]",6.964131132704458e-11,1,32,1,33,1,1,1,1
9-9-9-8-w1:1-w1:34-w1:1-w1:35,eeh,9,9,9,8,1,34,1,35,0.4,1.8883999999999999,0.4,-0.1452999999999997,"[0.0, 0.0, 0.0]","[-0.25259921295010057, 2.4414516187368884e-08, 0.14583825178845475]","[0.0, 0.0, 0.0]","[0.25259921295010057, -2.4414516187368884e-08, -0.14583825178845475]",0.001,0.02380952,0.001,0.001,"[-0.2525992129501007, 2.4414516242021733e-08, 0.14583825178845475]",6.964131132704458e-11,1,34,1,35,1,1,1,1
9-9-9-8-w1:1-w1:36-w1:1-w1:37,eeh,9,9,9,8,1,36,1,37,0.4,1.8883999999999999,0.4,-0.1452999999999997,"[0.0, 0.0, 0.0]","[-0.08419973765003352, -0.23815286056526783, 0.14583825178845475]","[0.0, 0.0, 0.0]","[0.08419973765003352, 0.23815286056526783, -0.14583825178845475]",0.001,0.02380952,0.001,0.001,"[-0.08419973765003351, -0.23815286056526797, 0.14583825178845475]",6.964131132704458e-11,1,36,1,37,1,1,1,1
9-9-9-8-w1:1-w1:38-w1:1-w1:39,eeh,9,9,9,8,1,38,1,39,0.4,1.8883999999999999,0.4,-0.1452999999999997,"[0.0, 0.0, 0.0]","[0.08419973765003352, 0.2381528605652678, 0.14583825178845475]","[0.0, 0.0, 0.0]","[-0.08419973765003352, -0.2381528605652678, -0.14583825178845475]",0.001,0.02380952,0.001,0.001,"[0.08419973765003354, 0.2381528605652678, 0.14583825178845475]",6.964131132704458e-11,1,38,1,39,1,1,1,1
9-9-9-8-w1:1-w1:40-w1:1-w1:41,eeh,9,9,9,8,1,40,1,41,0.4,1.8883999999999999,0.4,-0.1452999999999997,"[0.0, 0.0, 0.0]","[0.25259921295010057, -2.4414516199530067e-08, 0.14583825178845475]","[0.0, 0.0, 0.0]","[-0.25259921295010057, 2.4414516199530067e-08, -0.14583825178845475]",0.001,0.02380952,0.001,0.001,"[0.25259921295010057, -2.4414516186510582e-08, 0.14583825178845475]",6.964131132704458e-11,1,40,1,41,1,1,1,1
9-9-9-6-w1:1-w1:0-w1:1-w1:1,eeh,9,9,9,6,1,0,1,1,0.4,0.40000000000000036,0.4,-0.2686999999999999,"[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]",0.001,0.02380952,0.001,0.001,"[0.0, 0.0, 0.0]",5.865843664741856e-13,1,0,1,1,1,1,1,1
