pair_id,pair_type,E1_index,E2_index,E3_index,E4_index,k1_index,k2_index,k3_index,k4_index,E1,E2,E3,E4,k1,k2,k3,k4,kw1,kw2,kw3,kw4,k2_mapped,probability,k1_nscf_index,k2_nscf_index,k3_nscf_index,k4_nscf_index,k1_wc_index,k2_wc_index,k3_wc_index,k4_wc_index,C_Gaussian_FWHM_0.001,C_Gaussian_FWHM_0.005,C_Gaussian_FWHM_0.010,C_Gaussian_FWHM_0.030,C_Gaussian_FWHM_0.050,C_Gaussian_FWHM_0.070,C_Gaussian_FWHM_0.100,C_Gaussian_FWHM_0.150,C_Gaussian_FWHM_0.200,C_Lorentzian_FWHM_0.001,C_Lorentzian_FWHM_0.005,C_Lorentzian_FWHM_0.010,C_Lorentzian_FWHM_0.030,C_Lorentzian_FWHM_0.050,C_Lorentzian_FWHM_0.070,C_Lorentzian_FWHM_0.100,C_Lorentzian_FWHM_0.150,C_Lorentzian_FWHM_0.200,C_Rectangular_FWHM_0.001,C_Rectangular_FWHM_0.005,C_Rectangular_FWHM_0.010,C_Rectangular_FWHM_0.030,C_Rectangular_FWHM_0.050,C_Rectangular_FWHM_0.070,C_Rectangular_FWHM_0.100,C_Rectangular_FWHM_0.150,C_Rectangular_FWHM_0.200
9-9-9-7-w1:1-w1:0-w1:1-w1:1,eeh,9,9,9,7,1,0,1,1,0.4,0.40000000000000036,0.4,0.0,"[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]",0.001,0.02380952,0.001,0.001,"[0.0, 0.0, 0.0]",1.9124918384405066e-08,1,0,1,1,1,1,1,1,0.0,0.0,0.0,1.0251679172940622e-245,6.180760392849492e-109,2.4569099933877598e-71,1.939863089397777e-51,6.530832649946327e-41,2.7301145895503396e-37,3.788981481377367e-36,1.8944197000609324e-35,3.7883954648695465e-35,1.1350999861427658e-34,1.8871221300101139e-34,2.632138867954873e-34,3.7306952877892245e-34,5.49045721599169e-34,7.132211579597046e-34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9-9-9-8-w1:1-w1:0-w1:1-w1:1,eeh,9,9,9,8,1,0,1,1,0.4,0.40000000000000036,0.4,0.0,"[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]",0.001,0.02380952,0.001,0.001,"[0.0, 0.0, 0.0]",1.9124918384405066e-08,1,0,1,1,1,1,1,1,0.0,0.0,0.0,1.6820935741765073e-245,1.0141385121458609e-108,4.0312953209659125e-71,3.1829253072558653e-51,1.071578331098631e-40,4.4795691336577425e-37,6.216956810876705e-36,3.108361842051406e-35,6.215995275609908e-35,1.86247085781771e-34,3.09638799682327e-34,4.318810673193566e-34,6.1213208860275405e-34,9.008736398304681e-34,1.1702525223287942e-33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9-9-9-7-w1:1-w1:2-w1:1-w1:3,eeh,9,9,9,7,1,2,1,3,0.4,1.3007999999999997,0.4,-0.1233000000000004,"[0.0, 0.0, 0.0]","[-0.16839947530006705, 0.059538233452204097, 0.0]","[0.0, 0.0, 0.0]","[0.16839947530006705, -0.059538233452204097, 0.0]",0.001,0.02380952,0.001,0.001,"[-0.168399475300067, 0.059538233452204076, 0.0]",1.630975004962732e-10,1,2,1,3,1,1,1,1,0.0,0.0,0.0,2.3581958836133173e-221,1.4913320368630867e-99,4.4257283142467674e-66,2.243527180116195e-48,5.103577367830339e-39,8.308030563609023e-36,3.850448607366153e-35,1.925143248717217e-34,3.849779991865817e-34,1.1533156638065411e-33,1.9168209404501973e-33,2.6723469539570366e-33,3.784071062217144e-33,5.556362561569128e-33,7.195953667021837e-33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9-9-9-7-w1:1-w1:4-w1:1-w1:5,eeh,9,9,9,7,1,4,1,5,0.4,1.3007999999999997,0.4,-0.1233000000000004,"[0.0, 0.0, 0.0]","[0.16839947530006705, -0.059538233452204097, 0.0]","[0.0, 0.0, 0.0]","[-0.16839947530006705, 0.059538233452204097, 0.0]",0.001,0.02380952,0.001,0.001,"[0.16839947530006705, -0.05953823345220409, 0.0]",1.630975004962732e-10,1,4,1,5,1,1,1,1,0.0,0.0,0.0,2.3581931170307787e-221,1.4913302872657774e-99,4.4257231220815356e-66,2.2435245480604074e-48,5.1035713804277945e-39,8.308020816813836e-36,3.850444090106174e-35,1.9251409901823197e-34,3.849775475390244e-34,1.1533143107624623e-33,1.916818691678846e-33,2.672343818819505e-33,3.784066622829814e-33,5.5563560429691456e-33,7.195945224890329e-33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9-9-9-7-w1:1-w1:6-w1:1-w1:7,eeh,9,9,9,7,1,6,1,7,0.4,1.3007999999999997,0.4,-0.1233000000000004,"[0.0, 0.0, 0.0]","[0.0, -0.1786146515275799, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.1786146515275799, 0.0]",0.001,0.02380952,0.001,0.001,"[0.0, -0.17861465152757985, 0.0]",1.630975004962732e-10,1,6,1,7,1,1,1,1,0.0,0.0,0.0,7.38865951904073e-221,4.672616353368916e-99,1.3866617215717878e-65,7.02938147368519e-48,1.599044242338424e-38,2.603058106192366e-35,1.2064160553024715e-34,6.0318263164621235e-34,1.2062065658230157e-33,3.613549161482752e-33,6.0057510007409875e-33,8.372952347486937e-33,1.1856187549499534e-32,1.7409101346099658e-32,2.2546240509482286e-32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9-9-9-7-w1:1-w1:8-w1:1-w1:9,eeh,9,9,9,7,1,8,1,9,0.4,1.3007999999999997,0.4,-0.1233000000000004,"[0.0, 0.0, 0.0]","[0.0, 0.1786146515275799, 0.0]","[0.0, 0.0, 0.0]","[0.0, -0.1786146515275799, 0.0]",0.001,0.02380952,0.001,0.001,"[0.0, 0.17861465152757994, 0.0]",1.630975004962732e-10,1,8,1,9,1,1,1,1,0.0,0.0,0.0,7.388628616111096e-221,4.6725968102387975e-99,1.3866559218851876e-65,7.029352073429231e-48,1.59903755436592e-38,2.6030472189507375e-35,1.2064110094899842e-34,6.03180108846187e-34,1.2062015208867138e-33,3.6135340478812676e-33,6.0057258818002506e-33,8.372917327771039e-33,1.1856137961217837e-32,1.7409028532860323e-32,2.2546146210254905e-32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9-9-9-7-w1:1-w1:10-w1:1-w1:11,eeh,9,9,9,7,1,10,1,11,0.4,1.3007999999999997,0.4,-0.1233000000000004,"[0.0, 0.0, 0.0]","[0.08419973765003352, 0.05953820903768791, -0.14583825178845475]","[0.0, 0.0, 0.0]","[-0.08419973765003352, -0.05953820903768791, 0.14583825178845475]",0.001,0.02380952,0.001,0.001,"[0.08419973765003352, 0.0595382090376879, -0.14583825178845472]",1.630975004962732e-10,1,10,1,11,1,1,1,1,0.0,0.0,0.0,1.4177073103616018e-224,8.965634897121808e-103,2.6606726898225757e-69,1.3487704335112926e-51,3.068184027309372e-42,4.994646859737915e-39,2.3148243013936778e-38,1.1573634218281137e-37,2.314422341111568e-37,6.933537875690673e-37,1.152360191455598e-36,1.6065695978751363e-36,2.274919248698302e-36,3.3403907950539616e-36,4.3260851185647546e-36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9-9-9-7-w1:1-w1:12-w1:1-w1:13,eeh,9,9,9,7,1,12,1,13,0.4,1.3007999999999997,0.4,-0.1233000000000004,"[0.0, 0.0, 0.0]","[-0.08419973765003352, -0.059538209037687896, -0.14583825178845475]","[0.0, 0.0, 0.0]","[0.08419973765003352, 0.059538209037687896, 0.14583825178845475]",0.001,0.02380952,0.001,0.001,"[-0.0841997376500335, -0.05953820903768789, -0.14583825178845472]",1.630975004962732e-10,1,12,1,13,1,1,1,1,0.0,0.0,0.0,4.227942403779255e-222,2.673766840397822e-100,7.934762560411042e-67,4.022356142997972e-49,9.150058871002668e-40,1.4895231967734358e-36,6.903359917545146e-36,3.451534637627042e-35,6.902161175809849e-35,2.0677468881334276e-34,3.4366138075704907e-34,4.7911749328190865e-34,6.7843535026224564e-34,9.961844581305234e-34,1.2901420893762023e-33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9-9-9-7-w1:1-w1:14-w1:1-w1:15,eeh,9,9,9,7,1,14,1,15,0.4,1.3007999999999997,0.4,-0.1233000000000004,"[0.0, 0.0, 0.0]","[-0.08419973765003352, -0.05953820903768791, 0.14583825178845475]","[0.0, 0.0, 0.0]","[0.08419973765003352, 0.05953820903768791, -0.14583825178845475]",0.001,0.02380952,0.001,0.001,"[-0.08419973765003351, -0.0595382090376879, 0.14583825178845475]",1.630975004962732e-10,1,14,1,15,1,1,1,1,0.0,0.0,0.0,1.409273879747943e-224,8.91230156148923e-103,2.644845305459613e-69,1.3407470835704145e-51,3.049932504646595e-42,4.9649355029412964e-39,2.3010542446365916e-38,1.1504786833200754e-37,2.300654675471551e-37,6.892292753968829e-37,1.1455052153645848e-36,1.5970126934769794e-36,2.2613865727394818e-36,3.320520012286109e-36,4.300350794977968e-36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9-9-9-7-w1:1-w1:16-w1:1-w1:17,eeh,9,9,9,7,1,16,1,17,0.4,1.3007999999999997,0.4,-0.1233000000000004,"[0.0, 0.0, 0.0]","[0.08419973765003352, 0.059538209037687896, 0.14583825178845475]","[0.0, 0.0, 0.0]","[-0.08419973765003352, -0.059538209037687896, -0.14583825178845475]",0.001,0.02380952,0.001,0.001,"[0.08419973765003354, 0.0595382090376879, 0.14583825178845475]",1.630975004962732e-10,1,16,1,17,1,1,1,1,0.0,0.0,0.0,4.227869980006801e-222,2.673721039328946e-100,7.93462663958165e-67,4.022287240875331e-49,9.14990213240069e-40,1.4894976815514285e-36,6.903241664428124e-36,3.451475513557853e-35,6.902042943227025e-35,2.067711468060064e-34,3.4365549390920116e-34,4.791092860990765e-34,6.784237288060526e-34,9.961673936983182e-34,1.2901199895110222e-33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9-9-9-8-w1:1-w1:2-w1:1-w1:3,eeh,9,9,9,8,1,2,1,3,0.4,1.3007999999999997,0.4,-0.1233000000000004,"[0.0, 0.0, 0.0]","[-0.16839947530006705, 0.059538233452204097, 0.0]","[0.0, 0.0, 0.0]","[0.16839947530006705, -0.059538233452204097, 0.0]",0.001,0.02380952,0.001,0.001,"[-0.168399475300067, 0.059538233452204076, 0.0]",1.630975004962732e-10,1,2,1,3,1,1,1,1,0.0,0.0,0.0,4.008189003890649e-221,2.5347939553458353e-99,7.522341840488154e-66,3.813288385311277e-48,8.674471373811038e-39,1.4121030818704237e-35,6.544547836477243e-35,3.2721361503690703e-34,6.543411401071304e-34,1.960272763516632e-33,3.257990851959108e-33,4.5421467104840536e-33,6.431726951486189e-33,9.44406335184788e-33,1.2230850948848903e-32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9-9-9-8-w1:1-w1:4-w1:1-w1:5,eeh,9,9,9,8,1,4,1,5,0.4,1.3007999999999997,0.4,-0.1233000000000004,"[0.0, 0.0, 0.0]","[0.16839947530006705, -0.059538233452204097, 0.0]","[0.0, 0.0, 0.0]","[-0.16839947530006705, 0.059538233452204097, 0.0]",0.001,0.02380952,0.001,0.001,"[0.16839947530006705, -0.05953823345220409, 0.0]",1.630975004962732e-10,1,4,1,5,1,1,1,1,0.0,0.0,0.0,4.0081912883410245e-221,2.5347954000409324e-99,7.52234612781508e-66,3.81329055867887e-48,8.67447631778932e-39,1.4121038866926046e-35,6.544551566514611e-35,3.272138015309234e-34,6.543415130460967e-34,1.960273880765805e-33,3.257992708837219e-33,4.5421492992613655e-33,6.431730617221772e-33,9.444068734451853e-33,1.2230857919770687e-32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9-9-9-8-w1:1-w1:6-w1:1-w1:7,eeh,9,9,9,8,1,6,1,7,0.4,1.3007999999999997,0.4,-0.1233000000000004,"[0.0, 0.0, 0.0]","[0.0, -0.1786146515275799, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.1786146515275799, 0.0]",0.001,0.02380952,0.001,0.001,"[0.0, -0.17861465152757985, 0.0]",1.630975004962732e-10,1,6,1,7,1,1,1,1,0.0,0.0,0.0,9.079926198431688e-221,5.742179827455772e-99,1.7040690617310682e-65,8.6384092861774e-48,1.9650660138072016e-38,3.198898992915652e-35,1.4825651010877412e-34,7.412513413846513e-34,1.482307659395117e-33,4.44069179478552e-33,7.38046944947942e-33,1.0289523990413511e-32,1.4570072916040532e-32,2.1394050571181995e-32,2.7707082638011254e-32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9-9-9-8-w1:1-w1:8-w1:1-w1:9,eeh,9,9,9,8,1,8,1,9,0.4,1.3007999999999997,0.4,-0.1233000000000004,"[0.0, 0.0, 0.0]","[0.0, 0.1786146515275799, 0.0]","[0.0, 0.0, 0.0]","[0.0, -0.1786146515275799, 0.0]",0.001,0.02380952,0.001,0.001,"[0.0, 0.17861465152757994, 0.0]",1.630975004962732e-10,1,8,1,9,1,1,1,1,0.0,0.0,0.0,9.079957876345944e-221,5.742199860689109e-99,1.7040750068623878e-65,8.638439423733885e-48,1.9650728695008857e-38,3.19891015318786e-35,1.48257027343927e-34,7.412539274515336e-34,1.482312830848487e-33,4.4407072874063664e-33,7.380495198353726e-33,1.0289559888354923e-32,1.4570123747898682e-32,2.1394125210433987e-32,2.770717930207756e-32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9-9-9-8-w1:1-w1:10-w1:1-w1:11,eeh,9,9,9,8,1,10,1,11,0.4,1.3007999999999997,0.4,-0.1233000000000004,"[0.0, 0.0, 0.0]","[0.08419973765003352, 0.05953820903768791, -0.14583825178845475]","[0.0, 0.0, 0.0]","[-0.08419973765003352, -0.05953820903768791, 0.14583825178845475]",0.001,0.02380952,0.001,0.001,"[0.08419973765003352, 0.0595382090376879, -0.14583825178845472]",1.630975004962732e-10,1,10,1,11,1,1,1,1,0.0,0.0,0.0,6.896163460023497e-222,4.361159974386596e-100,1.294232853885539e-66,6.560833333904595e-49,1.4924588751934886e-39,2.4295495211250913e-36,1.1260015834702758e-35,5.629770885178735e-35,1.1258060576526684e-34,3.372685616950882e-34,5.605433637127003e-34,7.81484758939791e-34,1.106590541130516e-33,1.624868601204744e-33,2.1043405716789553e-33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
