pair_id,pair_type,E1_index,E2_index,E3_index,E4_index,k1_index,k2_index,k3_index,k4_index,E1,E2,E3,E4,k1,k2,k3,k4,kw1,kw2,kw3,kw4,k2_mapped,probability,k1_nscf_index,k2_nscf_index,k3_nscf_index,k4_nscf_index,k1_wc_index,k2_wc_index,k3_wc_index,k4_wc_index,C_Gaussian_FWHM_0.001,C_Gaussian_FWHM_0.005,C_Gaussian_FWHM_0.010,C_Gaussian_FWHM_0.030,C_Gaussian_FWHM_0.050,C_Gaussian_FWHM_0.070,C_Gaussian_FWHM_0.100,C_Gaussian_FWHM_0.150,C_Gaussian_FWHM_0.200,C_Lorentzian_FWHM_0.001,C_Lorentzian_FWHM_0.005,C_Lorentzian_FWHM_0.010,C_Lorentzian_FWHM_0.030,C_Lorentzian_FWHM_0.050,C_Lorentzian_FWHM_0.070,C_Lorentzian_FWHM_0.100,C_Lorentzian_FWHM_0.150,C_Lorentzian_FWHM_0.200,C_Rectangular_FWHM_0.001,C_Rectangular_FWHM_0.005,C_Rectangular_FWHM_0.010,C_Rectangular_FWHM_0.030,C_Rectangular_FWHM_0.050,C_Rectangular_FWHM_0.070,C_Rectangular_FWHM_0.100,C_Rectangular_FWHM_0.150,C_Rectangular_FWHM_0.200
9-9-9-8-w1:1-w1:12-w1:1-w1:13,eeh,9,9,9,8,1,12,1,13,0.4,1.3007999999999997,0.4,-0.1233000000000004,"[0.0, 0.0, 0.0]","[-0.08419973765003352, -0.059538209037687896, -0.14583825178845475]","[0.0, 0.0, 0.0]","[0.08419973765003352, 0.059538209037687896, 0.14583825178845475]",0.001,0.02380952,0.001,0.001,"[-0.0841997376500335, -0.05953820903768789, -0.14583825178845472]",1.630975004962732e-10,1,12,1,13,1,1,1,1,0.0,0.0,0.0,1.5805087837248417e-220,9.995197600382482e-99,2.9662092634683494e-65,1.5036555866028763e-47,3.4205168935821157e-38,5.568203800406446e-35,2.580645606037865e-34,1.29026847840307e-33,2.58019748691487e-33,7.729746072920296e-33,1.284690705407921e-32,1.7910589460523338e-32,2.5361580832332056e-32,3.7239823439365594e-32,4.8228682176217033e-32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9-9-9-8-w1:1-w1:14-w1:1-w1:15,eeh,9,9,9,8,1,14,1,15,0.4,1.3007999999999997,0.4,-0.1233000000000004,"[0.0, 0.0, 0.0]","[-0.08419973765003352, -0.05953820903768791, 0.14583825178845475]","[0.0, 0.0, 0.0]","[0.08419973765003352, 0.05953820903768791, -0.14583825178845475]",0.001,0.02380952,0.001,0.001,"[-0.08419973765003351, -0.0595382090376879, 0.14583825178845475]",1.630975004962732e-10,1,14,1,15,1,1,1,1,0.0,0.0,0.0,6.896249969490211e-222,4.3612146833020424e-100,1.2942490894917047e-66,6.560915636796082e-49,1.4924775974616218e-39,2.4295799988007795e-36,1.1260157086859947e-35,5.62984150828386e-35,1.1258201804155985e-34,3.37272792587175e-34,5.6055039549316e-34,7.81494562337018e-34,1.1066044228428824e-33,1.6248889844971337e-33,2.104366969745314e-33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9-9-9-8-w1:1-w1:16-w1:1-w1:17,eeh,9,9,9,8,1,16,1,17,0.4,1.3007999999999997,0.4,-0.1233000000000004,"[0.0, 0.0, 0.0]","[0.08419973765003352, 0.059538209037687896, 0.14583825178845475]","[0.0, 0.0, 0.0]","[-0.08419973765003352, -0.059538209037687896, -0.14583825178845475]",0.001,0.02380952,0.001,0.001,"[0.08419973765003354, 0.0595382090376879, 0.14583825178845475]",1.630975004962732e-10,1,16,1,17,1,1,1,1,0.0,0.0,0.0,1.5805091470879901e-220,9.99519989830484e-99,2.9662099454077024e-65,1.503655932297271e-47,3.4205176799679946e-38,5.568205080551222e-35,2.5806461993351135e-34,1.2902687750392048e-33,2.580198080109095e-33,7.729747850009358e-33,1.2846910007617112e-32,1.7910593578215212e-32,2.5361586663026546e-32,3.7239832000899463e-32,4.822869326411858e-32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9-9-9-8-w1:1-w1:18-w1:1-w1:19,eeh,9,9,9,8,1,18,1,19,0.4,1.8883999999999999,0.4,-0.1452999999999997,"[0.0, 0.0, 0.0]","[0.16839947530006705, -0.238152884979784, 0.0]","[0.0, 0.0, 0.0]","[-0.16839947530006705, 0.238152884979784, 0.0]",0.001,0.02380952,0.001,0.001,"[0.16839947530006705, -0.23815288497978396, 0.0]",6.964131132704458e-11,1,18,1,19,1,1,1,1,0.0,0.0,0.0,0.0,0.0,1.932696037429836e-250,4.035738489690982e-139,8.496771784625328e-80,4.257091508084784e-59,9.654275756763782e-37,4.827105315531584e-36,9.654007118911788e-36,2.8955510569155625e-35,4.823749628661437e-35,6.748700114695623e-35,9.627218622327028e-35,1.439040957527964e-34,1.909388327434042e-34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9-9-9-8-w1:1-w1:20-w1:1-w1:21,eeh,9,9,9,8,1,20,1,21,0.4,1.8883999999999999,0.4,-0.1452999999999997,"[0.0, 0.0, 0.0]","[-0.16839947530006705, 0.238152884979784, 0.0]","[0.0, 0.0, 0.0]","[0.16839947530006705, -0.238152884979784, 0.0]",0.001,0.02380952,0.001,0.001,"[-0.168399475300067, 0.23815288497978399, 0.0]",6.964131132704458e-11,1,20,1,21,1,1,1,1,0.0,0.0,0.0,0.0,0.0,1.932696037429836e-250,4.0357378627108386e-139,8.496770464592527e-80,4.257090846715905e-59,9.65427425690466e-37,4.827104565607082e-36,9.6540056190944e-36,2.8955506070714954e-35,4.823748879258264e-35,6.748699066237956e-35,9.627217126671418e-35,1.4390407339629074e-34,1.9093880307972382e-34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9-9-9-8-w1:1-w1:22-w1:1-w1:23,eeh,9,9,9,8,1,22,1,23,0.4,1.8883999999999999,0.4,-0.1452999999999997,"[0.0, 0.0, 0.0]","[0.25259921295010057, -2.4414516187368884e-08, -0.14583825178845475]","[0.0, 0.0, 0.0]","[-0.25259921295010057, 2.4414516187368884e-08, 0.14583825178845475]",0.001,0.02380952,0.001,0.001,"[0.25259921295010057, -2.4414516186510582e-08, -0.14583825178845472]",6.964131132704458e-11,1,22,1,23,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,3.353410906067998e-143,7.060211468537238e-84,3.537339480198598e-63,8.022014730542787e-41,4.010980307864765e-40,8.021791511643701e-40,2.4059964534721037e-39,4.008191971361684e-39,5.6076885616380776e-39,7.999532181205423e-39,1.195740421134749e-38,1.5865655461800071e-38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9-9-9-8-w1:1-w1:24-w1:1-w1:25,eeh,9,9,9,8,1,24,1,25,0.4,1.8883999999999999,0.4,-0.1452999999999997,"[0.0, 0.0, 0.0]","[-0.25259921295010057, 2.4414516199530067e-08, -0.14583825178845475]","[0.0, 0.0, 0.0]","[0.25259921295010057, -2.4414516199530067e-08, 0.14583825178845475]",0.001,0.02380952,0.001,0.001,"[-0.25259921295010046, 2.4414516186510582e-08, -0.14583825178845472]",6.964131132704458e-11,1,24,1,25,1,1,1,1,0.0,0.0,0.0,0.0,0.0,1.932696037429836e-250,4.108742023254413e-139,8.650472121191787e-80,4.3340991545383235e-59,9.828914486711197e-37,4.9144240914673385e-36,9.828640989398537e-36,2.9479294405269223e-35,4.911007702695997e-35,6.870779123677802e-35,9.801367908662813e-35,1.4650721473858803e-34,1.943927754407202e-34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9-9-9-8-w1:1-w1:26-w1:1-w1:27,eeh,9,9,9,8,1,26,1,27,0.4,1.8883999999999999,0.4,-0.1452999999999997,"[0.0, 0.0, 0.0]","[-0.08419973765003352, -0.2381528605652678, -0.14583825178845475]","[0.0, 0.0, 0.0]","[0.08419973765003352, 0.2381528605652678, 0.14583825178845475]",0.001,0.02380952,0.001,0.001,"[-0.0841997376500335, -0.23815286056526777, -0.14583825178845472]",6.964131132704458e-11,1,26,1,27,1,1,1,1,0.0,0.0,0.0,0.0,0.0,6.8212801321053035e-251,1.4795279322717736e-139,3.1149717013637428e-80,1.5606773859449658e-59,3.5393201726209833e-37,1.7696481485581555e-36,3.539221688240316e-36,1.0615278167723057e-35,1.7684179319648299e-35,2.474117277847317e-35,3.529400851468566e-35,5.275617579742558e-35,6.999941575026727e-35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9-9-9-8-w1:1-w1:28-w1:1-w1:29,eeh,9,9,9,8,1,28,1,29,0.4,1.8883999999999999,0.4,-0.1452999999999997,"[0.0, 0.0, 0.0]","[0.08419973765003352, 0.23815286056526783, -0.14583825178845475]","[0.0, 0.0, 0.0]","[-0.08419973765003352, -0.23815286056526783, 0.14583825178845475]",0.001,0.02380952,0.001,0.001,"[0.08419973765003352, 0.23815286056526785, -0.14583825178845472]",6.964131132704458e-11,1,28,1,29,1,1,1,1,0.0,0.0,0.0,0.0,0.0,2.3874480462368564e-250,4.9801370117853705e-139,1.0485091577017995e-79,5.253288595414811e-59,1.1913461722323592e-36,5.9566906783163427e-36,1.1913130220836837e-35,3.5731356293017895e-35,5.952549731021399e-35,8.327955666227852e-35,1.1880072978978217e-34,1.7757892768242339e-34,2.3562020937717757e-34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9-9-9-8-w1:1-w1:30-w1:1-w1:31,eeh,9,9,9,8,1,30,1,31,0.4,1.8883999999999999,0.4,-0.1452999999999997,"[0.0, 0.0, 0.0]","[-1.2856411751856643e-17, 1.2161184174984452e-17, -0.2916765035769095]","[0.0, 0.0, 0.0]","[1.2856411751856643e-17, -1.2161184174984452e-17, 0.2916765035769095]",0.001,0.02380952,0.001,0.001,"[0.0, 0.0, -0.29167650357690944]",6.964131132704458e-11,1,30,1,31,1,1,1,1,0.0,0.0,0.0,0.0,0.0,2.3874480462368564e-250,4.899858159826511e-139,1.031607391495477e-79,5.168606592399542e-59,1.172141900790416e-36,5.860669968846376e-36,1.172109285015769e-35,3.51553736934733e-35,5.856595772826362e-35,8.193710620666471e-35,1.168856848468762e-34,1.7471638948062413e-34,2.318220568640353e-34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9-9-9-8-w1:1-w1:32-w1:1-w1:33,eeh,9,9,9,8,1,32,1,33,0.4,1.8883999999999999,0.4,-0.1452999999999997,"[0.0, 0.0, 0.0]","[1.2856411751856643e-17, -1.2161184174984452e-17, 0.2916765035769095]","[0.0, 0.0, 0.0]","[-1.2856411751856643e-17, 1.2161184174984452e-17, -0.2916765035769095]",0.001,0.02380952,0.001,0.001,"[2.7755575615628914e-17, -2.7755575615628914e-17, 0.2916765035769095]",6.964131132704458e-11,1,32,1,33,1,1,1,1,0.0,0.0,0.0,0.0,0.0,2.3874480462368564e-250,4.899853174487483e-139,1.0316063418910955e-79,5.168601333623608e-59,1.1721407081998196e-36,5.8606640059336175e-36,1.1721080924583574e-35,3.515533792479371e-35,5.856589814058876e-35,8.193702284011814e-35,1.1688556592205277e-34,1.7471621171620583e-34,2.31821820997708e-34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9-9-9-8-w1:1-w1:34-w1:1-w1:35,eeh,9,9,9,8,1,34,1,35,0.4,1.8883999999999999,0.4,-0.1452999999999997,"[0.0, 0.0, 0.0]","[-0.25259921295010057, 2.4414516187368884e-08, 0.14583825178845475]","[0.0, 0.0, 0.0]","[0.25259921295010057, -2.4414516187368884e-08, -0.14583825178845475]",0.001,0.02380952,0.001,0.001,"[-0.2525992129501007, 2.4414516242021733e-08, 0.14583825178845475]",6.964131132704458e-11,1,34,1,35,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,3.3534060495794506e-143,7.060201243772932e-84,3.5373343573403643e-63,8.022003112872373e-41,4.010974499068745e-40,8.021779894296557e-40,2.4059929690514496e-39,4.0081861666037966e-39,5.607680440451609e-39,7.999520596094767e-39,1.1957386894353467e-38,1.5865632484784665e-38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9-9-9-8-w1:1-w1:36-w1:1-w1:37,eeh,9,9,9,8,1,36,1,37,0.4,1.8883999999999999,0.4,-0.1452999999999997,"[0.0, 0.0, 0.0]","[-0.08419973765003352, -0.23815286056526783, 0.14583825178845475]","[0.0, 0.0, 0.0]","[0.08419973765003352, 0.23815286056526783, -0.14583825178845475]",0.001,0.02380952,0.001,0.001,"[-0.08419973765003351, -0.23815286056526797, 0.14583825178845475]",6.964131132704458e-11,1,36,1,37,1,1,1,1,0.0,0.0,0.0,0.0,0.0,2.3874480462368564e-250,4.980129917563855e-139,1.0485076640970635e-79,5.253281112087968e-59,1.1913444751558272e-36,5.956682192990924e-36,1.1913113250543744e-35,3.57313053935836e-35,5.952541251594773e-35,8.327943803027676e-35,1.1880056055775274e-34,1.7757867472065814e-34,2.356198737354161e-34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9-9-9-8-w1:1-w1:38-w1:1-w1:39,eeh,9,9,9,8,1,38,1,39,0.4,1.8883999999999999,0.4,-0.1452999999999997,"[0.0, 0.0, 0.0]","[0.08419973765003352, 0.2381528605652678, 0.14583825178845475]","[0.0, 0.0, 0.0]","[-0.08419973765003352, -0.2381528605652678, -0.14583825178845475]",0.001,0.02380952,0.001,0.001,"[0.08419973765003354, 0.2381528605652678, 0.14583825178845475]",6.964131132704458e-11,1,38,1,39,1,1,1,1,0.0,0.0,0.0,0.0,0.0,6.8212801321053035e-251,1.4795326263156161e-139,3.114981584119867e-80,1.5606823374486947e-59,3.5393314016918925e-37,1.7696537630557354e-36,3.539232916998768e-36,1.0615311846425592e-35,1.768423542559347e-35,2.4741251273881875e-35,3.52941204906881e-35,5.275634317500376e-35,6.999963783483853e-35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9-9-9-8-w1:1-w1:40-w1:1-w1:41,eeh,9,9,9,8,1,40,1,41,0.4,1.8883999999999999,0.4,-0.1452999999999997,"[0.0, 0.0, 0.0]","[0.25259921295010057, -2.4414516199530067e-08, 0.14583825178845475]","[0.0, 0.0, 0.0]","[-0.25259921295010057, 2.4414516199530067e-08, -0.14583825178845475]",0.001,0.02380952,0.001,0.001,"[0.25259921295010057, -2.4414516186510582e-08, 0.14583825178845475]",6.964131132704458e-11,1,40,1,41,1,1,1,1,0.0,0.0,0.0,0.0,0.0,1.932696037429836e-250,4.108741508413389e-139,8.650471037254687e-80,4.334098611459193e-59,9.82891325511078e-37,4.914423475671284e-36,9.828639757832392e-36,2.9479290711401365e-35,4.911007087328028e-35,6.870778262743012e-35,9.801366680514086e-35,1.4650719638067608e-34,1.9439275108256516e-34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9-9-9-6-w1:1-w1:0-w1:1-w1:1,eeh,9,9,9,6,1,0,1,1,0.4,0.40000000000000036,0.4,-0.2686999999999999,"[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]",0.001,0.02380952,0.001,0.001,"[0.0, 0.0, 0.0]",5.865843664741856e-13,1,0,1,1,1,1,1,1,0.0,0.0,0.0,0.0,1.1368800220175507e-251,1.3760775644767735e-146,1.0588202358938594e-90,5.777320055384028e-61,1.2774270248208861e-50,2.7970710749555385e-41,1.3985167721549347e-40,2.7969162675333407e-40,8.38699778072102e-40,1.396584298195695e-39,1.952601668529311e-39,2.7815215859194624e-39,4.1434863910245744e-39,5.4717778553610176e-39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
