partial_pair_id,P_134,E1_index,E3_index,E4_index,k1_index,k3_index,k4_index,E1,E3,E4,k1,k3,k4,kw1,kw3,kw4,k1_frac,k3_frac,k4_frac,k2_target_cart,k2_target_frac,k2_target_frac_mapped,k2_target_cart_mapped,k2_wc_index,k2_nscf_index,k1_wc_index,k1_nscf_index,k3_wc_index,k3_nscf_index,k4_wc_index,k4_nscf_index
9-X-9-7-0-X-0-0,1.919153778474389e-08,9,9,7,0,0,0,0.4,0.4,0.0,"[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]",0.001,0.001,0.001,"[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]",1,0,1,1,1,1,1,1
9-X-9-8-0-X-0-0,1.919153778474389e-08,9,9,8,0,0,0,0.4,0.4,0.0,"[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]",0.001,0.001,0.001,"[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]",1,0,1,1,1,1,1,1
9-X-9-7-0-X-0-1,1.6309750049627318e-10,9,9,7,0,0,1,0.4,0.4,-0.1233000000000004,"[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.16839947530006705, -0.059538233452204097, 0.0]",0.001,0.001,0.001,"[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.10000000000000002, 6.938893903907228e-18, 0.0]","[-0.16839947530006705, 0.059538233452204097, 0.0]","[-0.10000000000000002, -6.938893903907228e-18, 0.0]","[-0.09999999999999998, 0.0, 0.0]","[-0.168399475300067, 0.059538233452204076, 0.0]",1,2,1,1,1,1,1,3
9-X-9-7-0-X-0-9,1.6309750049627318e-10,9,9,7,0,0,9,0.4,0.4,-0.1233000000000004,"[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[-0.16839947530006705, 0.059538233452204097, 0.0]",0.001,0.001,0.001,"[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[-0.10000000000000002, -6.938893903907228e-18, 0.0]","[0.16839947530006705, -0.059538233452204097, 0.0]","[0.10000000000000002, 6.938893903907228e-18, 0.0]","[0.10000000000000002, 6.938893903907228e-18, 0.0]","[0.16839947530006705, -0.05953823345220409, 0.0]",1,4,1,1,1,1,1,5
9-X-9-7-0-X-0-10,1.6309750049627318e-10,9,9,7,0,0,10,0.4,0.4,-0.1233000000000004,"[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.1786146515275799, 0.0]",0.001,0.001,0.001,"[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.10000000000000002, 0.0]","[0.0, -0.1786146515275799, 0.0]","[0.0, -0.10000000000000002, 0.0]","[0.0, -0.09999999999999998, 0.0]","[0.0, -0.17861465152757985, 0.0]",1,6,1,1,1,1,1,7
9-X-9-7-0-X-0-90,1.6309750049627318e-10,9,9,7,0,0,90,0.4,0.4,-0.1233000000000004,"[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, -0.1786146515275799, 0.0]",0.001,0.001,0.001,"[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, -0.10000000000000002, 0.0]","[0.0, 0.1786146515275799, 0.0]","[0.0, 0.10000000000000002, 0.0]","[0.0, 0.10000000000000002, 0.0]","[0.0, 0.17861465152757994, 0.0]",1,8,1,1,1,1,1,9
9-X-9-7-0-X-0-100,1.6309750049627318e-10,9,9,7,0,0,100,0.4,0.4,-0.1233000000000004,"[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[-0.08419973765003352, -0.05953820903768791, 0.14583825178845475]",0.001,0.001,0.001,"[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[-1.3877787807814457e-17, -1.3877787807814457e-17, 0.09999999999999999]","[0.08419973765003352, 0.05953820903768791, -0.14583825178845475]","[1.3877787807814457e-17, 1.3877787807814457e-17, -0.09999999999999999]","[1.3877787807814457e-17, 1.3877787807814457e-17, -0.09999999999999998]","[0.08419973765003352, 0.0595382090376879, -0.14583825178845472]",1,10,1,1,1,1,1,11
9-X-9-7-0-X-0-111,1.6309750049627318e-10,9,9,7,0,0,111,0.4,0.4,-0.1233000000000004,"[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.08419973765003352, 0.059538209037687896, 0.14583825178845475]",0.001,0.001,0.001,"[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.1, 0.1, 0.09999999999999999]","[-0.08419973765003352, -0.059538209037687896, -0.14583825178845475]","[-0.1, -0.1, -0.09999999999999999]","[-0.09999999999999998, -0.09999999999999998, -0.09999999999999998]","[-0.0841997376500335, -0.05953820903768789, -0.14583825178845472]",1,12,1,1,1,1,1,13
9-X-9-7-0-X-0-900,1.6309750049627318e-10,9,9,7,0,0,900,0.4,0.4,-0.1233000000000004,"[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.08419973765003352, 0.05953820903768791, -0.14583825178845475]",0.001,0.001,0.001,"[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[1.3877787807814457e-17, 1.3877787807814457e-17, -0.09999999999999999]","[-0.08419973765003352, -0.05953820903768791, 0.14583825178845475]","[-1.3877787807814457e-17, -1.3877787807814457e-17, 0.09999999999999999]","[0.0, 0.0, 0.09999999999999999]","[-0.08419973765003351, -0.0595382090376879, 0.14583825178845475]",1,14,1,1,1,1,1,15
9-X-9-7-0-X-0-999,1.6309750049627318e-10,9,9,7,0,0,999,0.4,0.4,-0.1233000000000004,"[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[-0.08419973765003352, -0.059538209037687896, -0.14583825178845475]",0.001,0.001,0.001,"[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[-0.1, -0.1, -0.09999999999999999]","[0.08419973765003352, 0.059538209037687896, 0.14583825178845475]","[0.1, 0.1, 0.09999999999999999]","[0.1, 0.1, 0.09999999999999999]","[0.08419973765003354, 0.0595382090376879, 0.14583825178845475]",1,16,1,1,1,1,1,17
9-X-9-8-0-X-0-1,1.6309750049627318e-10,9,9,8,0,0,1,0.4,0.4,-0.1233000000000004,"[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.16839947530006705, -0.059538233452204097, 0.0]",0.001,0.001,0.001,"[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.10000000000000002, 6.938893903907228e-18, 0.0]","[-0.16839947530006705, 0.059538233452204097, 0.0]","[-0.10000000000000002, -6.938893903907228e-18, 0.0]","[-0.09999999999999998, 0.0, 0.0]","[-0.168399475300067, 0.059538233452204076, 0.0]",1,2,1,1,1,1,1,3
9-X-9-8-0-X-0-9,1.6309750049627318e-10,9,9,8,0,0,9,0.4,0.4,-0.1233000000000004,"[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[-0.16839947530006705, 0.059538233452204097, 0.0]",0.001,0.001,0.001,"[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[-0.10000000000000002, -6.938893903907228e-18, 0.0]","[0.16839947530006705, -0.059538233452204097, 0.0]","[0.10000000000000002, 6.938893903907228e-18, 0.0]","[0.10000000000000002, 6.938893903907228e-18, 0.0]","[0.16839947530006705, -0.05953823345220409, 0.0]",1,4,1,1,1,1,1,5
9-X-9-8-0-X-0-10,1.6309750049627318e-10,9,9,8,0,0,10,0.4,0.4,-0.1233000000000004,"[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.1786146515275799, 0.0]",0.001,0.001,0.001,"[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.10000000000000002, 0.0]","[0.0, -0.1786146515275799, 0.0]","[0.0, -0.10000000000000002, 0.0]","[0.0, -0.09999999999999998, 0.0]","[0.0, -0.17861465152757985, 0.0]",1,6,1,1,1,1,1,7
9-X-9-8-0-X-0-90,1.6309750049627318e-10,9,9,8,0,0,90,0.4,0.4,-0.1233000000000004,"[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, -0.1786146515275799, 0.0]",0.001,0.001,0.001,"[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, -0.10000000000000002, 0.0]","[0.0, 0.1786146515275799, 0.0]","[0.0, 0.10000000000000002, 0.0]","[0.0, 0.10000000000000002, 0.0]","[0.0, 0.17861465152757994, 0.0]",1,8,1,1,1,1,1,9
9-X-9-8-0-X-0-100,1.6309750049627318e-10,9,9,8,0,0,100,0.4,0.4,-0.1233000000000004,"[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[-0.08419973765003352, -0.05953820903768791, 0.14583825178845475]",0.001,0.001,0.001,"[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[-1.3877787807814457e-17, -1.3877787807814457e-17, 0.09999999999999999]","[0.08419973765003352, 0.05953820903768791, -0.14583825178845475]","[1.3877787807814457e-17, 1.3877787807814457e-17, -0.09999999999999999]","[1.3877787807814457e-17, 1.3877787807814457e-17, -0.09999999999999998]","[0.08419973765003352, 0.0595382090376879, -0.14583825178845472]",1,10,1,1,1,1,1,11
9-X-9-8-0-X-0-111,1.6309750049627318e-10,9,9,8,0,0,111,0.4,0.4,-0.1233000000000004,"[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.08419973765003352, 0.059538209037687896, 0.14583825178845475]",0.001,0.001,0.001,"[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.1, 0.1, 0.09999999999999999]","[-0.08419973765003352, -0.059538209037687896, -0.14583825178845475]","[-0.1, -0.1, -0.09999999999999999]","[-0.09999999999999998, -0.09999999999999998, -0.09999999999999998]","[-0.0841997376500335, -0.05953820903768789, -0.14583825178845472]",1,12,1,1,1,1,1,13
9-X-9-8-0-X-0-900,1.6309750049627318e-10,9,9,8,0,0,900,0.4,0.4,-0.1233000000000004,"[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.08419973765003352, 0.05953820903768791, -0.14583825178845475]",0.001,0.001,0.001,"[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[1.3877787807814457e-17, 1.3877787807814457e-17, -0.09999999999999999]","[-0.08419973765003352, -0.05953820903768791, 0.14583825178845475]","[-1.3877787807814457e-17, -1.3877787807814457e-17, 0.09999999999999999]","[0.0, 0.0, 0.09999999999999999]","[-0.08419973765003351, -0.0595382090376879, 0.14583825178845475]",1,14,1,1,1,1,1,15
9-X-9-8-0-X-0-999,1.6309750049627318e-10,9,9,8,0,0,999,0.4,0.4,-0.1233000000000004,"[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[-0.08419973765003352, -0.059538209037687896, -0.14583825178845475]",0.001,0.001,0.001,"[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[-0.1, -0.1, -0.09999999999999999]","[0.08419973765003352, 0.059538209037687896, 0.14583825178845475]","[0.1, 0.1, 0.09999999999999999]","[0.1, 0.1, 0.09999999999999999]","[0.08419973765003354, 0.0595382090376879, 0.14583825178845475]",1,16,1,1,1,1,1,17
9-X-9-8-0-X-0-19,6.964131132704458e-11,9,9,8,0,0,19,0.4,0.4,-0.1452999999999997,"[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[-0.16839947530006705, 0.238152884979784, 0.0]",0.001,0.001,0.001,"[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[-0.10000000000000002, 0.1, 0.0]","[0.16839947530006705, -0.238152884979784, 0.0]","[0.10000000000000002, -0.1, 0.0]","[0.10000000000000002, -0.09999999999999998, 0.0]","[0.16839947530006705, -0.23815288497978396, 0.0]",1,18,1,1,1,1,1,19
9-X-9-8-0-X-0-91,6.964131132704458e-11,9,9,8,0,0,91,0.4,0.4,-0.1452999999999997,"[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.16839947530006705, -0.238152884979784, 0.0]",0.001,0.001,0.001,"[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.10000000000000002, -0.1, 0.0]","[-0.16839947530006705, 0.238152884979784, 0.0]","[-0.10000000000000002, 0.1, 0.0]","[-0.09999999999999998, 0.1, 0.0]","[-0.168399475300067, 0.23815288497978399, 0.0]",1,20,1,1,1,1,1,21
9-X-9-8-0-X-0-109,6.964131132704458e-11,9,9,8,0,0,109,0.4,0.4,-0.1452999999999997,"[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[-0.25259921295010057, 2.4414516187368884e-08, 0.14583825178845475]",0.001,0.001,0.001,"[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[-0.10000000000000003, -2.0816681711721685e-17, 0.09999999999999999]","[0.25259921295010057, -2.4414516187368884e-08, -0.14583825178845475]","[0.10000000000000003, 2.0816681711721685e-17, -0.09999999999999999]","[0.10000000000000003, 2.0816681711721685e-17, -0.09999999999999998]","[0.25259921295010057, -2.4414516186510582e-08, -0.14583825178845472]",1,22,1,1,1,1,1,23
9-X-9-8-0-X-0-112,6.964131132704458e-11,9,9,8,0,0,112,0.4,0.4,-0.1452999999999997,"[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.25259921295010057, -2.4414516199530067e-08, 0.14583825178845475]",0.001,0.001,0.001,"[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.2, 0.1, 0.09999999999999999]","[-0.25259921295010057, 2.4414516199530067e-08, -0.14583825178845475]","[-0.2, -0.1, -0.09999999999999999]","[-0.19999999999999996, -0.09999999999999998, -0.09999999999999998]","[-0.25259921295010046, 2.4414516186510582e-08, -0.14583825178845472]",1,24,1,1,1,1,1,25
9-X-9-8-0-X-0-121,6.964131132704458e-11,9,9,8,0,0,121,0.4,0.4,-0.1452999999999997,"[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.08419973765003352, 0.2381528605652678, 0.14583825178845475]",0.001,0.001,0.001,"[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.1, 0.2, 0.09999999999999999]","[-0.08419973765003352, -0.2381528605652678, -0.14583825178845475]","[-0.1, -0.2, -0.09999999999999999]","[-0.09999999999999998, -0.19999999999999996, -0.09999999999999998]","[-0.0841997376500335, -0.23815286056526777, -0.14583825178845472]",1,26,1,1,1,1,1,27
9-X-9-8-0-X-0-190,6.964131132704458e-11,9,9,8,0,0,190,0.4,0.4,-0.1452999999999997,"[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[-0.08419973765003352, -0.23815286056526783, 0.14583825178845475]",0.001,0.001,0.001,"[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[-1.3877787807814457e-17, -0.10000000000000003, 0.09999999999999999]","[0.08419973765003352, 0.23815286056526783, -0.14583825178845475]","[1.3877787807814457e-17, 0.10000000000000003, -0.09999999999999999]","[1.3877787807814457e-17, 0.10000000000000003, -0.09999999999999998]","[0.08419973765003352, 0.23815286056526785, -0.14583825178845472]",1,28,1,1,1,1,1,29
9-X-9-8-0-X-0-211,6.964131132704458e-11,9,9,8,0,0,211,0.4,0.4,-0.1452999999999997,"[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[1.2856411751856643e-17, -1.2161184174984452e-17, 0.2916765035769095]",0.001,0.001,0.001,"[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.1, 0.09999999999999999, 0.19999999999999998]","[-1.2856411751856643e-17, 1.2161184174984452e-17, -0.2916765035769095]","[-0.1, -0.09999999999999999, -0.19999999999999998]","[-0.09999999999999998, -0.09999999999999998, -0.19999999999999996]","[0.0, 0.0, -0.29167650357690944]",1,30,1,1,1,1,1,31
9-X-9-8-0-X-0-899,6.964131132704458e-11,9,9,8,0,0,899,0.4,0.4,-0.1452999999999997,"[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[-1.2856411751856643e-17, 1.2161184174984452e-17, -0.2916765035769095]",0.001,0.001,0.001,"[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[-0.1, -0.09999999999999999, -0.19999999999999998]","[1.2856411751856643e-17, -1.2161184174984452e-17, 0.2916765035769095]","[0.1, 0.09999999999999999, 0.19999999999999998]","[0.1, 0.09999999999999999, 0.19999999999999998]","[2.7755575615628914e-17, -2.7755575615628914e-17, 0.2916765035769095]",1,32,1,1,1,1,1,33
9-X-9-8-0-X-0-901,6.964131132704458e-11,9,9,8,0,0,901,0.4,0.4,-0.1452999999999997,"[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.25259921295010057, -2.4414516187368884e-08, -0.14583825178845475]",0.001,0.001,0.001,"[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.10000000000000003, 2.0816681711721685e-17, -0.09999999999999999]","[-0.25259921295010057, 2.4414516187368884e-08, 0.14583825178845475]","[-0.10000000000000003, -2.0816681711721685e-17, 0.09999999999999999]","[-0.10000000000000009, 0.0, 0.09999999999999999]","[-0.2525992129501007, 2.4414516242021733e-08, 0.14583825178845475]",1,34,1,1,1,1,1,35
9-X-9-8-0-X-0-910,6.964131132704458e-11,9,9,8,0,0,910,0.4,0.4,-0.1452999999999997,"[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.08419973765003352, 0.23815286056526783, -0.14583825178845475]",0.001,0.001,0.001,"[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[1.3877787807814457e-17, 0.10000000000000003, -0.09999999999999999]","[-0.08419973765003352, -0.23815286056526783, 0.14583825178845475]","[-1.3877787807814457e-17, -0.10000000000000003, 0.09999999999999999]","[0.0, -0.10000000000000009, 0.09999999999999999]","[-0.08419973765003351, -0.23815286056526797, 0.14583825178845475]",1,36,1,1,1,1,1,37
9-X-9-8-0-X-0-989,6.964131132704458e-11,9,9,8,0,0,989,0.4,0.4,-0.1452999999999997,"[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[-0.08419973765003352, -0.2381528605652678, -0.14583825178845475]",0.001,0.001,0.001,"[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[-0.1, -0.2, -0.09999999999999999]","[0.08419973765003352, 0.2381528605652678, 0.14583825178845475]","[0.1, 0.2, 0.09999999999999999]","[0.1, 0.2, 0.09999999999999999]","[0.08419973765003354, 0.2381528605652678, 0.14583825178845475]",1,38,1,1,1,1,1,39
9-X-9-8-0-X-0-998,6.964131132704458e-11,9,9,8,0,0,998,0.4,0.4,-0.1452999999999997,"[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[-0.25259921295010057, 2.4414516199530067e-08, -0.14583825178845475]",0.001,0.001,0.001,"[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[-0.2, -0.1, -0.09999999999999999]","[0.25259921295010057, -2.4414516199530067e-08, 0.14583825178845475]","[0.2, 0.1, 0.09999999999999999]","[0.2, 0.1, 0.09999999999999999]","[0.25259921295010057, -2.4414516186510582e-08, 0.14583825178845475]",1,40,1,1,1,1,1,41
9-X-9-6-0-X-0-0,5.88627664017066e-13,9,9,6,0,0,0,0.4,0.4,-0.2686999999999999,"[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]",0.001,0.001,0.001,"[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]",1,0,1,1,1,1,1,1
